ROM Name;Description;Category;Year;Manufacturer;CHD name;Set;P/C;1g1r;exclusion notes
mars;Mars;Shooter / Flying Horizontal;1981;Artic;;mars;P;1;
mmatrixj;Mars Matrix: Hyper Solid Shooting (Japan 000412);Shooter / Flying Vertical;2000;Capcom, supported by Takumi;;mmatrix;C;0;Clone
mmatrix;Mars Matrix: Hyper Solid Shooting (USA 000412);Shooter / Flying Vertical;2000;Capcom, supported by Takumi;;mmatrix;P;1;
mtlchamp;Martial Champion (Europe ver EAA);Fighter / Versus;1993;Konami;;mtlchamp;P;1;
mtlchmpj;Martial Champion (Japan ver JAA);Fighter / Versus;1993;Konami;;mtlchamp;C;0;Clone
maruchan;Maru-Chan de Goo!;Uncategorized;1997;Sega;;maruchan;P;1;
marvlanj;Marvel Land (Japan);Platform / Fighter Scrolling;1989;Namco;;marvland;C;0;Clone
marvland;Marvel Land (US);Platform / Fighter Scrolling;1989;Namco;;marvland;P;1;
msha;Marvel Super Heroes (Asia 951024);Fighter / Versus;1995;Capcom;;msh;C;0;Clone
mshb;Marvel Super Heroes (Brazil 951117);Uncategorized;1995;Capcom;;msh;C;0;Clone
msh;Marvel Super Heroes (Euro 951024);Uncategorized;1995;Capcom;;msh;P;0;US Clone Available
mshh;Marvel Super Heroes (Hispanic 951117);Fighter / Versus;1995;Capcom;;msh;C;0;Clone
mshj;Marvel Super Heroes (Japan 951024);Fighter / Versus;1995;Capcom;;msh;C;0;Clone
mshu;Marvel Super Heroes (USA 951024);Fighter / Versus;1995;Capcom;;msh;C;1;
mshvsfa1;Marvel Super Heroes Vs. Street Fighter (Asia 970620);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfa;Marvel Super Heroes Vs. Street Fighter (Asia 970625);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfb1;Marvel Super Heroes Vs. Street Fighter (Brazil 970625);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfb;Marvel Super Heroes Vs. Street Fighter (Brazil 970827);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfh;Marvel Super Heroes Vs. Street Fighter (Hispanic 970625);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfj2;Marvel Super Heroes Vs. Street Fighter (Japan 970625);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfj1;Marvel Super Heroes Vs. Street Fighter (Japan 970702);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfj;Marvel Super Heroes Vs. Street Fighter (Japan 970707);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsfu1;Marvel Super Heroes Vs. Street Fighter (USA 970625);Fighter / Versus;1997;Capcom;;mshvsf;C;0;Clone
mshvsf;Marvel Super Heroes Vs. Street Fighter (USA 970827);Fighter / Versus;1997;Capcom;;mshvsf;P;1;
mvsca;Marvel Vs. Capcom: Clash of Super Heroes (Asia 980112);Fighter / Versus;1998;Capcom;;mvsc;C;0;Clone
mvsch;Marvel Vs. Capcom: Clash of Super Heroes (Hispanic 980123);Fighter / Versus;1998;Capcom;;mvsc;C;0;Clone
mvscjr1;Marvel Vs. Capcom: Clash of Super Heroes (Japan 980112);Fighter / Versus;1998;Capcom;;mvsc;C;0;Clone
mvscj;Marvel Vs. Capcom: Clash of Super Heroes (Japan 980123);Fighter / Versus;1998;Capcom;;mvsc;C;0;Clone
mvsc;Marvel Vs. Capcom: Clash of Super Heroes (USA 980123);Fighter / Versus;1998;Capcom;;mvsc;P;1;
marvins;Marvin's Maze;Maze;1983;SNK;;marvins;P;1;
masao;Masao;Platform / Run Jump;1983;bootleg;;mario;C;0;Clone
kamenrid;Masked Riders Club Battle Race;Driving;1993;Toei / Banpresto;;kamenrid;P;1;
masterw;Master of Weapon (World);Shooter / Flying Vertical;1989;Taito Corporation Japan;;masterw;P;1;
matmania;Mat Mania;Wrestling;1985;Technos (Taito America license);;matmania;P;1;
matchit;Match It;Puzzle / Match;1989;Tamtex;;sichuan2;C;0;Clone
matchit2;Match It II;no_catver;1993;Tamtex;;matchit2;P;1;
mausuke;Mausuke no Ojama the World;Puzzle / Drop;1995;Data East;;mausuke;P;1;
maxrpm;Max RPM;Driving / Race (chase view);1986;Bally Midway;;maxrpm;P;1;
maxf_102;Maximum Force v1.02;Lightgun;1996;Atari Games;maxforce.chd;maxforce;C;0;Lightgun
maxforce;Maximum Force v1.05;Lightgun;1996;Atari Games;maxforce.chd;maxforce;P;0;Lightgun
maya;Maya;Puzzle / Match * Mature *;1994;Promat;;maya;P;0;Mature
mayday;Mayday (set 1);Shooter / Flying Horizontal;1980;<unknown>;;mayday;P;1;
maydaya;Mayday (set 2);Shooter / Flying Horizontal;1980;<unknown>;;mayday;C;0;Clone
maydayb;Mayday (set 3);Shooter / Flying Horizontal;1980;<unknown>;;mayday;C;0;Clone
mayhem;Mayhem 2002;Sports;1985;Cinematronics;;mayhem;P;1;
mofflott;Maze of Flott (Japan);Maze / Driving;1989;Taito Corporation;;mofflott;P;1;
mazerbla;Mazer Blazer;Uncategorized;1983;Stern;;mazerbla;P;1;
mazinger;Mazinger Z;Shooter / Flying Vertical;1994;Banpresto/Dynamic Pl. Toei Animation;;mazinger;P;1;
medlanes;Meadows Lanes;Sports / Bowling;1977;Meadows Games, Inc.;;medlanes;P;1;
mechatt;Mechanized Attack (World);Lightgun;1989;SNK;;mechatt;P;0;Lightgun
mmehyou;Medal Mahjong Circuit no Mehyou [BET] (Japan);Tabletop / Mahjong * Mature *;1992;Nichibutsu/Kawakusu;;mmehyou;P;0;Mature
mjanbari;Medal Mahjong Janjan Baribari [BET] (Japan);Tabletop / Mahjong * Mature *;1992;Nichibutsu/Yubis/AV JAPAN;;mjanbari;P;0;Mature
pachiten;Medal Mahjong Pachi-Slot Tengoku [BET] (Japan);Tabletop / Mahjong * Mature *;1993;Nichibutsu/MIKI SYOUJI/AV JAPAN;;pachiten;P;0;Mature
megabj;Mega Blast (Japan);Shooter / Flying Horizontal;1989;Taito Corporation;;megab;C;0;Clone
megab;Mega Blast (World);Shooter / Flying Horizontal;1989;Taito Corporation Japan;;megab;P;1;
megaforc;Mega Force;Shooter / Flying Vertical;1985;Tehkan (Video Ware license);;starforc;C;0;Clone
megaman;Mega Man - The Power Battle (CPS1 Asia 951006);Beat Em Up;1995;Capcom;;megaman;P;1;
megamn2a;Mega Man 2: The Power Fighters (Asia 960708);Beat Em Up;1996;Capcom;;megaman2;C;0;Clone
megaman2;Mega Man 2: The Power Fighters (USA 960708);Beat Em Up;1996;Capcom;;megaman2;P;1;
mtwins;Mega Twins (World 900619);Platform / Fighter Scrolling;1990;Capcom;;mtwins;P;1;
megazone;Mega Zone;Shooter / Driving Vertical;1983;Konami;;megazone;P;1;
megaznik;Mega Zone (Kosuka);Shooter / Driving Vertical;1983;Konami / Interlogic + Kosuka;;megazone;C;0;Clone
megadon;Megadon;Shooter / Field;1982;Epos Corporation (Photar Industries license);;megadon;P;1;
megatack;MegaTack;Shooter / Gallery;1980;GamePlan (Centuri license);;megatack;P;1;
mt_aftrb;MegaTech - Afterburner;Shooter / Flying (chase view);1989;Sega;;mt_aftrb;P;0;Console Port
mt_beast;MegaTech - Altered Beast;Platform / Fighter Scrolling;1989;Sega;;mt_beast;P;0;Console Port
mt_tgolf;MegaTech - Arnold Palmer Tournament Golf;Sports / Golf;1989;Sega;;mt_tgolf;P;0;Console Port
mt_astro;MegaTech - Astro Warrior;Shooter / Flying Vertical;1989;Sega;;mt_astro;P;0;Console Port
mt_bbros;MegaTech - Bonanza Bros.;Platform / Run Jump Scrolling;1989;Sega;;mt_bbros;P;0;Console Port
mt_eswat;MegaTech - E-Swat;Platform / Shooter Scrolling;1989;Sega;;mt_eswat;P;0;Console Port
mt_fshrk;MegaTech - Fire Shark;Shooter / Flying Vertical;1989;Sega;;mt_fshrk;P;0;Console Port
mt_gng;MegaTech - Ghouls and Ghosts;Uncategorized;1989;Capcom / Sega;;mt_gng;P;0;Console Port
mt_gaxe;MegaTech - Golden Axe;Beat Em Up;1989;Sega;;mt_gaxe;P;0;Console Port
mt_gaxe2;MegaTech - Golden Axe 2;Uncategorized;1989;Sega;;mt_gaxe2;P;0;Console Port
mt_ggolf;MegaTech - Great Golf;Uncategorized;1989;Sega;;mt_ggolf;P;0;Console Port
mt_gsocr;MegaTech - Great Soccer;Uncategorized;1989;Sega;;mt_gsocr;P;0;Console Port
mt_kcham;MegaTech - Kid Chameleon;Platform / Fighter Scrolling;1989;Sega;;mt_kcham;P;0;Console Port
mt_lastb;MegaTech - Last Battle.;Fighter / 2D;1989;Sega;;mt_lastb;P;0;Console Port
mt_mwalk;MegaTech - Moonwalker;Uncategorized;1989;Sega;;mt_mwalk;P;0;Console Port
mt_mystd;MegaTech - Mystic Defender;Platform / Fighter Scrolling;1989;Sega;;mt_mystd;P;0;Console Port
mt_parlg;MegaTech - Parlour Games;Uncategorized;1989;Sega;;mt_parlg;P;0;Console Port
mt_shnbi;MegaTech - Shinobi;Uncategorized;1989;Sega;;mt_shnbi;P;0;Console Port
mt_sonic;MegaTech - Sonic the Hedgehog;Platform / Run Jump Scrolling;1989;Sega;;mt_sonic;P;0;Console Port
mt_shar2;MegaTech - Space Harrier 2.;Uncategorized;1989;Sega;;mt_shar2;P;0;Console Port
mt_smgp;MegaTech - Super Monaco Grand Prix;Uncategorized;1990;Sega;;mt_smgp;P;0;Console Port
mt_stbld;MegaTech - Super Thunder Blade;Uncategorized;1989;Sega;;mt_stbld;P;0;Console Port
mt_tetri;MegaTech - Tetris;Uncategorized;1989;Sega;;mt_tetri;P;0;Console Port
mt_revsh;MegaTech - The Revenge Of Shinobi;Platform / Fighter Scrolling;1989;Sega;;mt_revsh;P;0;Console Port
mt_tfor2;MegaTech - Thunder Force 2;Uncategorized;1989;Sega;;mt_tfor2;P;0;Console Port
mt_tlbba;MegaTech - Tommy Lasorda Baseball;Sports / Baseball;1989;Sega;;mt_tlbba;P;0;Console Port
mt_wcsoc;MegaTech - World Cup Soccer;Sports / Soccer;1989;Sega;;mt_wcsoc;P;0;Console Port
kikcubic;Meikyu Jima (Japan);Maze;1988;Irem;;kikcubic;P;1;
meikyuh;Meikyuu Hunter G (Japan);Shooter / Walking;1987;Data East Corporation;;ghostb;C;0;Clone
myqbert;Mello Yello Q*bert;Platform / Run Jump;1982;Gottlieb;;qbert;C;0;Clone
meosism;Meosis Magic (Japan);Misc.;1996;Sammy;;meosism;P;1;
mercsu;Mercs (US 900302);Shooter / Walking;1990;Capcom;;mercs;C;0;Clone
mercsua;Mercs (US 900608);Shooter / Walking;1990;Capcom;;mercs;C;0;Clone
mercs;Mercs (World 900302);Shooter / Walking;1990;Capcom;;mercs;P;1;
mermaid;Mermaid;Sports;1982;[Sanritsu] Rock-ola;;mermaid;P;1;
metafox;Meta Fox;Shooter / Flying Vertical;1989;Seta;;metafox;P;1;
metalbj;Metal Black (Japan);Shooter / Flying Horizontal;1991;Taito Corporation;;metalb;C;0;Clone
metalb;Metal Black (World);Shooter / Flying Horizontal;1991;Taito Corporation Japan;;metalb;P;1;
metlclsh;Metal Clash (Japan);Fighter / Misc.;1985;Data East;;metlclsh;P;1;
metlhawk;Metal Hawk (Japan);Shooter / Flying;1988;Namco;;metlhawk;P;1;
mslug;Metal Slug - Super Vehicle-001;Platform / Shooter Scrolling;1996;Nazca;;mslug;P;1;
mslug2;Metal Slug 2 - Super Vehicle-001-II;Platform / Shooter Scrolling;1998;SNK;;mslug2;P;1;
mslug3;Metal Slug 3;Platform / Shooter Scrolling;2000;SNK;;mslug3;P;1;
mslug3n;Metal Slug 3 (not encrypted);Platform / Shooter Scrolling;2000;SNK;;mslug3;C;0;Clone
mslug4;Metal Slug 4;no_catver;2002;Mega;;mslug4;P;1;
mslug5;Metal Slug 5;no_catver;2003;Snk Playmore;;mslug5;P;1;
mslugx;Metal Slug X - Super Vehicle-001;Platform / Shooter Scrolling;1999;SNK;;mslugx;P;1;
msisaac;Metal Soldier Isaac II;Shooter / Misc. Vertical;1985;Taito Corporation;;msisaac;P;1;
metmqstr;Metamoqester;Beat Em Up;1995;Banpresto/Pandorabox;;metmqstr;P;1;
metamrpj;Metamorphic Force (Japan ver JAA);Beat Em Up;1993;Konami;;metamrph;C;0;Clone
metamrph;Metamorphic Force (US ver UAA);Beat Em Up;1993;Konami;;metamrph;P;1;
meteor;Meteoroids;Shooter / Field;1981;Venture Line;;spcforce;C;0;Clone
metrocrs;Metro-Cross (set 1);Platform / Run Jump Scrolling;1985;Namco;;metrocrs;P;1;
metrocra;Metro-Cross (set 2);Platform / Run Jump Scrolling;1985;Namco;;metrocrs;C;0;Clone
mexico86;Mexico 86;Sports / Soccer;1986;bootleg;;kicknrun;C;0;Clone
moonwlkb;Michael Jackson's Moonwalker (bootleg);Maze / Fighter;1990;bootleg;;moonwalk;C;0;Clone
moonwalk;Michael Jackson's Moonwalker (Set 1);Uncategorized;1990;Sega;;moonwalk;P;1;
moonwlka;Michael Jackson's Moonwalker (Set 2);Uncategorized;1990;Sega;;moonwalk;C;0;Clone
midresj;Midnight Resistance (Japan);Platform / Shooter Scrolling;1989;Data East Corporation;;midres;C;0;Clone
midresbj;Midnight Resistance (joystick hack bootleg);no_catver;1989;bootleg;;midres;C;0;Clone
midresu;Midnight Resistance (US);Platform / Shooter Scrolling;1989;Data East USA;;midres;C;0;Clone
midres;Midnight Resistance (World);Platform / Shooter Scrolling;1989;Data East Corporation;;midres;P;1;
mightguy;Mighty Guy;Fighter / Vertical;1986;Nichibutsu;;mightguy;P;1;
mimonkey;Mighty Monkey;Shooter / Flying Horizontal;;Universal Video Games;;mimonkey;P;1;
mimonscr;Mighty Monkey (bootleg on Scramble hardware);Shooter / Flying Horizontal;;bootleg;;mimonkey;C;0;Clone
mimonsco;Mighty Monkey (bootleg on Super Cobra hardware);Shooter / Flying Horizontal;;bootleg;;mimonkey;C;0;Clone
mwarr;Mighty Warriors;no_catver;1993;Elettronica Video-Games S.R.L;;mwarr;P;1;
mpangj;Mighty! Pang (Japan 001011);Shooter / Gallery;2000;Mitchell, distributed by Capcom;;mpangj;P;1;
mikie;Mikie;Misc.;1984;Konami;;mikie;P;1;
mikiehs;Mikie (High School Graffiti);Misc.;1984;Konami;;mikie;C;0;Clone
gtmr2;Mille Miglia 2 - Great 1000 Miles Rally;Driving / Race;1995;Kaneko;;gtmr2;P;1;
milliped;Millipede;Shooter / Gallery;1982;Atari;;milliped;P;1;
millpac;Millpac (bootleg of Centipede);Shooter / Gallery;1980;Valadon Automation;;centiped;C;0;Clone
minefld;Minefield;Shooter / Driving Horizontal;1983;Stern;;minefld;P;1;
mineswpr;Minesweeper;Maze / Surround;1977;Amutech;;mineswpr;P;1;
minigolf;Mini Golf (set 1);Sports / Golf;1985;Bally/Sente;;minigolf;P;1;
minigol2;Mini Golf (set 2);Sports / Golf;1985;Bally/Sente;;minigolf;C;0;Clone
minivadr;Minivader;Shooter / Gallery;1990;Taito Corporation;;minivadr;P;1;
mmonkey;Minky Monkey;Puzzle;1982;Technos + Roller Tron;;mmonkey;P;1;
minasan;Minnasanno Okagesamadesu;Tabletop / Mahjong;1990;Monolith Corp.;;minasan;P;0;Mahjong
mirninja;Mirai Ninja (Japan);Platform / Shooter Scrolling;1988;Namco;;mirninja;P;1;
missb2;Miss Bubble 2;Platform / Run Jump;1996;Alpha Co;;bublbobl;C;0;Clone
mcontest;Miss Mahjong Contest (Japan);Tabletop / Mahjong * Mature *;1989;Nichibutsu;;mcontest;P;0;Mature
missw96;Miss World '96 Nude;Puzzle / Outline * Mature *;1996;Comad;;missw96;P;0;Mature
missile;Missile Command (set 1);Shooter / Command;1980;Atari;;missile;P;1;
missile2;Missile Command (set 2);Shooter / Command;1980;Atari;;missile;C;0;Clone
m660b;Mission 660 (bootleg);Shooter / Flying Vertical;1986;bootleg;;m660;C;0;Clone
m660j;Mission 660 (Japan);Shooter / Flying Vertical;1986;[Woodplace Inc.] Taito Corporation;;m660;C;0;Clone
m660;Mission 660 (US);Shooter / Flying Vertical;1986;[Woodplace Inc.] Taito America Corporation;;m660;P;1;
mrviking;Mister Viking;Shooter / Walking;1984;Sega;;mrviking;P;1;
mrvikngj;Mister Viking (Japan);Shooter / Walking;1984;Sega;;mrviking;C;0;Clone
quiz18k;Miyasu Nonki no Quiz 18-Kin;Quiz / Japanese * Mature *;1992;EIM;;quiz18k;P;0;Mature
mizubaku;Mizubaku Daibouken (Japan);Platform / Fighter Scrolling;1990;Taito Corporation;;liquidk;C;0;Clone
msgundam;Mobile Suit Gundam;Fighter / Versus;1993;Banpresto;;msgundam;P;1;
msgunda1;Mobile Suit Gundam (Japan);Fighter / Versus;1993;Banpresto;;msgundam;C;0;Clone
gundamex;Mobile Suit Gundam EX Revue;Fighter / Versus;1994;Banpresto;;gundamex;P;1;
gdfs;Mobile Suit Gundam Final Shooting (Japan);no_catver;1995;Banpresto;;gdfs;P;1;
homerun;Moero Pro Yakyuu Homerun;Sports / Baseball;1988;Jaleco;;homerun;P;1;
moegonta;Moeyo Gonta!! (Japan);Misc. * Mature *;;Yanyaka;;ladykill;C;0;Mature
moguchan;Moguchan;Maze;1982;Orca (Eastern Commerce Inc. license) (bootleg);;moguchan;P;1;
mogura;Mogura Desse;Misc.;1991;Konami;;mogura;P;1;
mole;Mole Attack;Misc.;1982;Yachiyo Electronics, Ltd.;;mole;P;1;
momoko;Momoko 120%;Platform / Run Jump;1986;Jaleco;;momoko;P;1;
monymony;Money Money;Maze;1983;Zaccaria;;monymony;P;1;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;Puzzle / Toss;1997;Face;;miexchng;P;1;
monkeyd;Monkey Donkey;Platform / Run Jump;1981;bootleg;;ckong;C;0;Clone
mmpanic;Monkey Mole Panic (USA);Misc.;1992;Nakanihon + East Technology (Taito license);;mmpanic;P;1;
monsterb;Monster Bash;Platform / Shooter;1982;Sega;;monsterb;P;1;
mslider;Monster Slider (Japan);Puzzle / Drop;1997;Visco / Datt Japan;;mslider;P;1;
montecar;Monte Carlo;Driving / Race;1979;Atari;;montecar;P;1;
moonaln;Moon Alien;Shooter / Gallery;1979;[Nichibutsu] (Karateco license);;galaxian;C;0;Clone
moonal2;Moon Alien Part 2;Shooter / Gallery;1980;Nichibutsu;;moonal2;P;1;
moonal2b;Moon Alien Part 2 (older version);Shooter / Gallery;1980;Nichibutsu;;moonal2;C;0;Clone
moonbase;Moon Base;Shooter / Gallery;1978;Nichibutsu;;invadpt2;C;0;Clone
mooncrsb;Moon Cresta (bootleg set 1);Shooter / Gallery;1980;bootleg;;mooncrst;C;0;Clone
mooncrs2;Moon Cresta (bootleg set 2);Shooter / Gallery;1980;Nichibutsu;;mooncrst;C;0;Clone
mooncrgx;Moon Cresta (Galaxian hardware);Shooter / Gallery;1980;bootleg;;mooncrst;C;0;Clone
mooncrsg;Moon Cresta (Gremlin);Shooter / Gallery;1980;Gremlin;;mooncrst;C;0;Clone
mooncrst;Moon Cresta (Nichibutsu);Shooter / Gallery;1980;Nichibutsu;;mooncrst;P;1;
mooncrsa;Moon Cresta (Nichibutsu, old rev);Shooter / Gallery;1980;Nichibutsu;;mooncrst;C;0;Clone
mooncrsu;Moon Cresta (Nichibutsu, unencrypted);Shooter / Gallery;1980;Nichibutsu USA;;mooncrst;C;0;Clone
mpatrol;Moon Patrol;Shooter / Driving Horizontal;1982;Irem;;mpatrol;P;1;
mpatrolw;Moon Patrol (Williams);Shooter / Driving Horizontal;1982;Irem (Williams license);;mpatrol;C;0;Clone
moonqsr;Moon Quasar;Shooter / Gallery;1980;Nichibutsu;;moonqsr;P;1;
mshuttlj;Moon Shuttle (Japan);Shooter / Gallery;1981;Nichibutsu;;mshuttle;C;0;Clone
mshuttle;Moon Shuttle (US[Q]);Shooter / Gallery;1981;Nichibutsu;;mshuttle;P;1;
moonwar;Moonwar;Shooter / Flying;1981;Stern;;moonwar;P;1;
moonwara;Moonwar (older);Shooter / Flying;1981;Stern;;moonwar;C;0;Clone
moremorp;More More +;Uncategorized;;SemiCom;;moremorp;P;1;
quizhuhu;Moriguchi Hiroko no Quiz de Hyuu!Hyuu! (Japan);Quiz / Japanese;1995;Taito Corporation;;quizhuhu;P;0;Quiz
mkprot9;Mortal Kombat (prototype, rev 9.0 07-28-92);Fighter / Versus;1992;Midway;;mk;C;0;Clone
mkla1;Mortal Kombat (rev 1.0 08-08-92);Fighter / Versus;1992;Midway;;mk;C;0;Clone
mkla2;Mortal Kombat (rev 2.0 08-18-92);Fighter / Versus;1992;Midway;;mk;C;0;Clone
mkla3;Mortal Kombat (rev 3.0 08-31-92);Fighter / Versus;1992;Midway;;mk;C;0;Clone
mkla4;Mortal Kombat (rev 4.0 09-28-92);Fighter / Versus;1992;Midway;;mk;C;0;Clone
mkr4;Mortal Kombat (rev 4.0 T-Unit 02-11-93);Fighter / Versus;1992;Midway;;mk;C;0;Clone
mk;Mortal Kombat (rev 5.0 T-Unit 03-19-93);Fighter / Versus;1992;Midway;;mk;P;1;
mk3r10;Mortal Kombat 3 (rev 1.0);Fighter / Versus;1994;Midway;;mk3;C;0;Clone
mk3r20;Mortal Kombat 3 (rev 2.0);Fighter / Versus;1994;Midway;;mk3;C;0;Clone
mk3;Mortal Kombat 3 (rev 2.1);Fighter / Versus;1994;Midway;;mk3;P;1;
mk2r14;Mortal Kombat II (rev L1.4);Fighter / Versus;1993;Midway;;mk2;C;0;Clone
mk2r21;Mortal Kombat II (rev L2.1);Fighter / Versus;1993;Midway;;mk2;C;0;Clone
mk2;Mortal Kombat II (rev L3.1);Fighter / Versus;1993;Midway;;mk2;P;1;
mk2r32;Mortal Kombat II (rev L3.2 (European));Fighter / Versus;1993;Midway;;mk2;C;0;Clone
mk2r42;Mortal Kombat II (rev L4.2, hack);Fighter / Versus;1993;hack;;mk2;C;0;Clone
mk2r91;Mortal Kombat II (rev L9.1, hack);Fighter / Versus;1993;hack;;mk2;C;0;Clone
mk2chal;Mortal Kombat II Challenger (hack);Fighter / Versus;1993;hack;;mk2;C;0;Clone
mosaic;Mosaic;Puzzle / Drop;1990;Space;;mosaic;P;1;
mosaica;Mosaic (Fuuki);Puzzle / Drop;1990;Space (Fuuki license);;mosaic;C;0;Clone
motofren;Moto Frenzy;Driving / Race (chase view) Bike;1992;Atari Games;;motofren;P;1;
motorace;MotoRace USA;Driving / Race Bike;1983;Irem (Williams license);;travrusa;C;0;Clone
motos;Motos;Puzzle;1985;Namco;;motos;P;1;
mouja;Mouja (Japan);Puzzle / Drop;1996;Etona;;mouja;P;1;
msgogo;Mouse Shooter GoGo;no_catver;1995;Metro;;msgogo;P;1;
mtrap3;Mouse Trap (version 3);Maze;1981;Exidy;;mtrap;C;0;Clone
mtrap4;Mouse Trap (version 4);Maze;1981;Exidy;;mtrap;C;0;Clone
mtrap;Mouse Trap (version 5);Maze;1981;Exidy;;mtrap;P;1;
mouser;Mouser;Maze;1983;UPL;;mouser;P;1;
mouserc;Mouser (Cosmos);Maze;1983;[UPL] (Cosmos license);;mouser;C;0;Clone
mrdrillr;Mr Driller (DRI1-VER.A);Puzzle / Digging;1999;Namco;;mrdrillr;P;1;
mrdrilr2;Mr Driller 2;Uncategorized;2000;Namco;;mrdrilr2;P;1;
douni;Mr. Do vs. Unicorns;Platform / Run Jump;1983;Universal;;docastle;C;0;Clone
mrdo;Mr. Do!;Maze / Digging;1982;Universal;;mrdo;P;1;
mrdofix;Mr. Do! (bugfixed);Maze / Digging;1982;Universal (Taito license);;mrdo;C;0;Clone
mrdoy;Mr. Do! (prototype);Maze / Digging;1982;Universal;;mrdo;C;0;Clone
mrdot;Mr. Do! (Taito);Maze / Digging;1982;Universal (Taito license);;mrdo;C;0;Clone
docastlo;Mr. Do's Castle (older);Platform / Run Jump;1983;Universal;;docastle;C;0;Clone
docastle;Mr. Do's Castle (set 1);Platform / Run Jump;1983;Universal;;docastle;P;1;
docastl2;Mr. Do's Castle (set 2);Platform / Run Jump;1983;Universal;;docastle;C;0;Clone
dowild;Mr. Do's Wild Ride;Platform / Run Jump;1984;Universal;;dowild;P;1;
mrdu;Mr. Du!;Maze / Digging;1982;bootleg;;mrdo;C;0;Clone
mrgoemon;Mr. Goemon (Japan);Platform / Fighter Scrolling;1986;Konami;;mrgoemon;P;1;
mrheli;Mr. HELI no Dai-Bouken;Shooter / Flying;1987;Irem;;bchopper;C;0;Clone
mrjong;Mr. Jong (Japan);Maze;1983;Kiwako;;mrjong;P;1;
mrkougar;Mr. Kougar;Platform / Run Jump;1984;ATW;;mrkougar;P;1;
mrkougb;Mr. Kougar (bootleg);Platform / Run Jump;1983;bootleg;;mrkougar;C;0;Clone
mrkougr2;Mr. Kougar (earlier);Platform / Run Jump;1983;ATW;;mrkougar;C;0;Clone
mrlo;Mr. Lo!;Maze / Digging;1982;bootleg;;mrdo;C;0;Clone
mrtnt;Mr. TNT;Maze;1983;Telko;;mrtnt;P;1;
mspacmat;Ms. Pac Attack;Maze;1981;hack;;mspacman;C;0;Clone
mspacman;Ms. Pac-Man;Maze;1981;Midway;;mspacman;P;1;
mspacmab;Ms. Pac-Man (bootleg);Maze;1981;bootleg;;mspacman;C;0;Clone
mschamp;Ms. Pacman Champion Edition - Super Zola Pac Gal;Maze;1995;hack;;mspacman;C;0;Clone
mspacpls;Ms. Pac-Man Plus;Maze;1981;hack;;mspacman;C;0;Clone
mugsmash;Mug Smashers;Beat Em Up;;Electronic Devices Italy / 3D Games England;;mugsmash;P;1;
multchmpk;Multi Champ (Korea);no_catver;1998;ESD;;multchmp;C;0;Clone
multchmp;Multi Champ (World, ver. 2.5);Mini-Games;1999;ESD;;multchmp;P;1;
mchampdx;Multi Champ Deluxe (ver. 0106, 06-01-2000);no_catver;2000;ESD;;mchampdx;P;1;
mchampdxa;Multi Champ Deluxe (ver. 1126, 26-11-1999);no_catver;1999;ESD;;mchampdx;C;0;Clone
mnchmobl;Munch Mobile (US);Driving;1983;SNK (Centuri license);;joyfulr;C;1;
ganryu;Musashi Ganryuuki;Platform / Fighter Scrolling;1999;Visco;;ganryu;P;1;
mbomberj;Muscle Bomber - The Body Explosion (Japan 930713);Wrestling;1993;Capcom;;slammast;C;0;Clone
mbombrdj;Muscle Bomber Duo - Heat Up Warriors (Japan 931206);Wrestling;1993;Capcom;;slammast;C;0;Clone
mbombrd;Muscle Bomber Duo - Ultimate Team Battle (World 931206);Wrestling;1993;Capcom;;slammast;C;0;Clone
mustache;Mustache Boy;Maze;1987;[Seibu Kaihatsu] (March license);;mustache;P;1;
alibabab;Mustafa and 40 Thieves (bootleg);no_catver;1982;bootleg;;alibaba;C;0;Clone
mutantfa;Mutant Fighter (World Rev 3, EM-4);Fighter / Versus;1992;Data East Corporation;;mutantf;C;0;Clone
mutantf;Mutant Fighter (World Rev 4, EM-5);Fighter / Versus;1992;Data East Corporation;;mutantf;P;1;
mnight;Mutant Night;Platform / Shooter Scrolling;1987;UPL (Kawakus license);;mnight;P;1;
mutnat;Mutation Nation;Beat Em Up;1992;SNK;;mutnat;P;1;
mvp;MVP;Uncategorized;;Sega;;mvp;P;1;
mx5000;MX5000;Shooter / Flying Vertical;1987;Konami;;mx5000;P;1;
myherok;My Hero (Korea);Fighter / 2D;1985;Coreland / Sega;;myhero;C;0;Clone
myhero;My Hero (US);Fighter / 2D;1985;Sega;;myhero;P;1;
mystston;Mysterious Stones - Dr. John's Adventure;Maze / Shooter Large;1984;Technos;;mystston;P;1;
myststno;Mysterious Stones - Dr. Kick in Adventure;Maze / Shooter Large;1984;Technos;;mystston;C;0;Clone
mysticm;Mystic Marathon;Sports / Track & Field;1983;Williams;;mysticm;P;1;
